FOM,SNR,Bw,Power,OSR,Adc,gm,Io,Vn
129.735880460129,49.2323564316728,1000000,0.00890528037,194.09755,348.6654,0.00043454385,0.0042406097,2.0863348e-08
130.093368991998,49.7657604027598,1000000,0.00927340315971067,200.206259645588,362.813960805725,0.000418334791505142,0.00441590626652889,2.11394937015018e-08
128.571983321831,48.2627408646203,1000000,0.00931270303407339,186.285907863639,340.942399288057,0.000436581057584918,0.0044346204924159,2.18332611291073e-08
129.247169043457,48.7372890912429,1000000,0.00889225697516476,187.451903800156,365.073342048968,0.000454409758578224,0.00423440808341179,2.1489833592003e-08
129.089865347795,48.7114265812909,1000000,0.00916549918958967,187.146651570601,345.93748663114,0.000452609381569743,0.00436452342361413,2.182200303952e-08
130.363269361293,50.0442508462123,1000000,0.00929176352499679,197.120438814158,332.477272669474,0.000449715049272005,0.00442464929761752,2.12362493735632e-08
130.258956548941,49.8224361703041,1000000,0.00904373779033673,199.100222788193,357.142587925176,0.00042986064141424,0.00430654180492225,2.0177333344078e-08
130.461268604356,49.756036849528,1000000,0.00850113326936433,198.096854087169,332.342031211532,0.00042485017550384,0.0040481586996973,2.00228300153783e-08
129.917295732762,49.605026889696,1000000,0.00930621572736614,200.375787200665,355.458399976131,0.000426596020389864,0.00443153129874578,1.98920466564768e-08
129.55366856547,49.1764923740123,1000000,0.00916816415848219,192.908593028563,344.535753206572,0.00044608171873619,0.00436579245642009,2.02100594180484e-08
