SNDR,Bw,Power,Category
68.5040832794724,176064.458957969,0.0102147144205325,2ndSCSDM_SingleBit
54.1174638361676,69438.2371607102,0.0024910828894741,2ndSCSDM_SingleBit
53.6495484643856,77431.309606058,0.001928230113793,2ndSCSDM_SingleBit
70.0225755981216,46060.768804854,0.0037219079525722,2ndSCSDM_SingleBit
64.6230792135512,33151.0352931045,0.0007898585516777,2ndSCSDM_SingleBit
56.0056728744769,191128.3881784,0.0074570374757587,2ndSCSDM_SingleBit
50.7123360496093,797113.281686147,0.0174404939377201,2ndSCSDM_SingleBit
99.0913228462921,18323.1269098464,0.0025987842115304,2ndSCSDM_SingleBit
66.1221140374152,81126.7861650912,0.0037158681357672,2ndSCSDM_SingleBit
91.5622377759268,42430.4542936087,0.0081303405400293,2ndSCSDM_SingleBit
66.3313162520333,37838.9300116499,0.0020498133477185,2ndSCSDM_SingleBit
69.0495731946909,47482.7849151921,0.001486947469535,2ndSCSDM_SingleBit
64.5297105160206,48185.7474049645,0.0041509100027446,2ndSCSDM_SingleBit
89.1521917629869,11952.7912601834,0.0192188659584844,2ndSCSDM_SingleBit
76.789020906817,23145.0438925927,0.0112974219170759,2ndSCSDM_SingleBit
68.9066038028786,11910.4659484475,0.0197021527195394,2ndSCSDM_SingleBit
54.1845433222702,11940.6829895224,0.0050377214044355,2ndSCSDM_SingleBit
53.0905895932043,16649.6013194039,0.0051164225559891,2ndSCSDM_SingleBit
89.5871643918533,66578.1571146921,0.0115165380986969,2ndSCSDM_SingleBit
67.1587677588363,10932.8821726859,0.0003773336841981,2ndSCSDM_SingleBit
69.7876921830285,12259.5210060839,0.001470986102677,2ndSCSDM_SingleBit
54.8694325172408,12478.9032891509,0.0074835853449615,2ndSCSDM_SingleBit
78.6333835980684,24397.5757980827,0.0011078994341421,2ndSCSDM_SingleBit
69.4085366359052,14491.0883355781,0.0002188975531133,2ndSCSDM_SingleBit
50.7645928488487,14200.3049304302,0.0163613966897772,2ndSCSDM_SingleBit
90.2401373890737,20935.4117896836,0.0105178959051102,2ndSCSDM_SingleBit
74.1118941725651,19393.1753166722,0.0200028984311648,2ndSCSDM_SingleBit
67.5870181390758,16053.0603450291,0.0002704380788904,2ndSCSDM_SingleBit
54.960964542403,28547.7911512142,0.0008803084363629,2ndSCSDM_SingleBit
83.3548090238745,21020.4580026627,0.0027325041755956,2ndSCSDM_SingleBit
69.4707024386878,19730.2122415171,0.0058290427133938,2ndSCSDM_SingleBit
62.5860536866356,178852.197260237,0.00823948229898,2ndSCSDM_SingleBit
64.8157568615434,36612.8410480617,0.0019226380381737,2ndSCSDM_SingleBit
65.5223680123896,115494.780753006,0.0039615856055825,2ndSCSDM_SingleBit
70.5544441491964,33016.9102418018,0.0009382309404265,2ndSCSDM_SingleBit
55.8638680386138,21180.8519436117,0.0058555665741595,2ndSCSDM_SingleBit
103.981159157249,15174.9960837541,0.0175837208519178,2ndSCSDM_SingleBit
58.9704581904625,82161.1208320517,0.0093994395672111,2ndSCSDM_SingleBit
54.0752131315366,164839.338282119,0.0111591710778878,2ndSCSDM_SingleBit
110.465150710032,17783.394902676,0.0036326937581443,2ndSCSDM_SingleBit
67.6886059785739,11850.2610741333,0.0047804146882202,2ndSCSDM_SingleBit
97.018007862,14236.3313293315,0.0075584593716256,2ndSCSDM_SingleBit
69.6456413880461,10686.3874811838,0.0003862985514065,2ndSCSDM_SingleBit
59.9296275957562,112206.394744088,0.0141417706702012,2ndSCSDM_SingleBit
